locationid,FacilityType,Address,Status,Latitude,Longitude,Approved,ExpirationDate,Name
1571753,Truck,3750 18TH ST,APPROVED,37.76201920035647,-122.42730642251333,01/28/2022 12:00:00 AM,11/15/2022 12:00:00 AM,The Geez Freeze
1569152,Truck,2535 TAYLOR ST,APPROVED,37.805885350100986,-122.41594524663743,11/05/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Datam SF LLC dba Anzu To You
1569145,Truck,Assessors Block 7283/Lot004,APPROVED,37.72188970870838,-122.4925212449949,11/05/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Casita Vegana
1591820,Truck,217 SANSOME ST,APPROVED,37.79238986198323,-122.40126969523558,02/09/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Truly Food & More
1565593,Truck,351 CALIFORNIA ST,APPROVED,37.792870749741496,-122.4007474940767,10/22/2021 12:00:00 AM,11/15/2022 12:00:00 AM,MOMO INNOVATION LLC
1565571,Truck,101 CALIFORNIA ST,APPROVED,37.79294895283466,-122.39809861316652,10/22/2021 12:00:00 AM,11/15/2022 12:00:00 AM,MOMO INNOVATION LLC
1565954,Truck,1 MONTGOMERY ST,APPROVED,37.78924953407508,-122.40241859729358,10/22/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Treats by the Bay LLC
1565594,Truck,667 MISSION ST,APPROVED,37.7865580501799,-122.40103337534973,10/22/2021 12:00:00 AM,11/15/2022 12:00:00 AM,MOMO INNOVATION LLC
1565628,Truck,120 ELLIS ST,APPROVED,37.78561008636915,-122.40815476434544,10/22/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Treats by the Bay LLC
1565413,Truck,1 BUSH ST,APPROVED,37.79092150726921,-122.4001004237385,10/22/2021 12:00:00 AM,11/15/2022 12:00:00 AM,MOMO INNOVATION LLC
1047831,Truck,8 10TH ST,REQUESTED,37.7758255197583,-122.41724962664344,,,The Chef Station
1565414,Truck,555 MISSION ST,APPROVED,37.78844615690132,-122.3986412420388,10/22/2021 12:00:00 AM,11/15/2022 12:00:00 AM,MOMO INNOVATION LLC
1565623,Truck,201 02ND ST,APPROVED,37.78680165059711,-122.39787163500326,10/22/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Treats by the Bay LLC
1598473,Truck,3119 ALEMANY BLVD,APPROVED,37.71019301997575,-122.4552219061259,02/23/2022 12:00:00 AM,11/15/2022 12:00:00 AM,San Pancho's Tacos
1591819,Truck,505 HOWARD ST,APPROVED,37.78798864899528,-122.39610066847152,02/09/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Truly Food & More
1591821,Truck,602 MISSION ST,APPROVED,37.78797328321604,-122.40018504988888,02/09/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Truly Food & More
1598475,Truck,1271 CAPITOL AVE,APPROVED,37.72429777852764,-122.4593773095484,02/23/2022 12:00:00 AM,11/15/2022 12:00:00 AM,San Pancho's Tacos
1598474,Truck,491 BAY SHORE BLVD,APPROVED,0.0,0.0,02/23/2022 12:00:00 AM,11/15/2022 12:00:00 AM,San Pancho's Tacos
1589658,Truck,475 CALIFORNIA ST,APPROVED,37.792346385148,-122.40238532279396,01/13/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Zuri Food Facilities
1589659,Truck,100 SPEAR ST,APPROVED,37.792150548481686,-122.39399997405944,01/13/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Zuri Food Facilities
1589647,Truck,556 SUTTER ST,APPROVED,37.789385451039095,-122.4095912604668,01/13/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Philz Coffee Truck
1589657,Truck,490 02ND ST,APPROVED,37.78304609975,-122.39406659922962,01/13/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Zuri Food Facilities
1589653,Truck,1 MONTGOMERY ST,APPROVED,37.78924953407508,-122.40241859729358,01/13/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Plaza Garibaldy
1589648,Truck,401 CALIFORNIA ST,APPROVED,37.79279574157871,-122.40135328093122,01/13/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Philz Coffee Truck
1577179,Truck,3253 16TH ST,APPROVED,37.76445952144236,-122.42516137635808,12/03/2021 12:00:00 AM,11/15/2022 12:00:00 AM,BH & MT LLC
1577113,Truck,200 LARKIN ST,APPROVED,37.78021548028814,-122.41602577015112,12/03/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"BOWL'D ACAI, LLC."
1577178,Truck,1477 GROVE ST,APPROVED,37.77529014231951,-122.4407311621107,12/03/2021 12:00:00 AM,11/15/2022 12:00:00 AM,BH & MT LLC
1589650,Truck,735 MONTGOMERY ST,APPROVED,37.79621549659414,-122.40375455824538,01/13/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Philz Coffee Truck
1589651,Truck,475 CALIFORNIA ST,APPROVED,37.792346385148,-122.40238532279396,01/13/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Plaza Garibaldy
1577177,Truck,1265 GROVE ST,APPROVED,37.775774368410254,-122.43733160784082,12/03/2021 12:00:00 AM,11/15/2022 12:00:00 AM,BH & MT LLC
1577112,Truck,111 BATTERY ST,APPROVED,37.79236678688307,-122.40014830676716,12/03/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"BOWL'D ACAI, LLC."
1577174,Truck,949 PRESIDIO AVE,APPROVED,37.783922070111466,-122.44672163317198,12/03/2021 12:00:00 AM,11/15/2022 12:00:00 AM,BH & MT LLC
1589660,Truck,1601 MARIPOSA ST,APPROVED,0.0,0.0,01/13/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Zuri Food Facilities
1577173,Truck,170 OTIS ST,APPROVED,0.0,0.0,12/03/2021 12:00:00 AM,11/15/2022 12:00:00 AM,BH & MT LLC
1577114,Truck,451 MONTGOMERY ST,APPROVED,37.79357693326183,-122.40322987670132,12/03/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"BOWL'D ACAI, LLC."
1577176,Truck,2001 MARKET ST,APPROVED,37.768320249510616,-122.42711064395492,12/03/2021 12:00:00 AM,11/15/2022 12:00:00 AM,BH & MT LLC
1589646,Truck,250 PINE ST,APPROVED,37.79229559981873,-122.40070689723306,01/13/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Philz Coffee Truck
1577175,Truck,401 23RD ST,APPROVED,37.755030726766726,-122.38453073422282,12/03/2021 12:00:00 AM,11/15/2022 12:00:00 AM,BH & MT LLC
1577180,Truck,2145 MARKET ST,APPROVED,37.7666247727157,-122.42951117634738,12/03/2021 12:00:00 AM,11/15/2022 12:00:00 AM,BH & MT LLC
1577115,Truck,15 MARINA BLVD,APPROVED,37.80457786909011,-122.43301077434302,12/03/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"BOWL'D ACAI, LLC."
1589652,Truck,540 HOWARD ST,APPROVED,37.78795495968584,-122.39723654373122,01/13/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Plaza Garibaldy
1589649,Truck,15 MARINA BLVD,APPROVED,37.80457786909011,-122.43301077434302,01/13/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Philz Coffee Truck
934719,Truck,1 SANSOME ST,EXPIRED,37.790485146128,-122.40094044068952,03/21/2017 12:00:00 AM,07/15/2018 12:00:00 AM,"Santana ESG, Inc."
1591823,Truck,290 TOWNSEND ST,APPROVED,37.77775521656862,-122.394807823179,03/22/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Cochinita
1591822,Truck,2601 24TH ST,APPROVED,37.752822368121485,-122.4055319192157,03/22/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Cochinita
1336741,Truck,1575 BURKE AVE,EXPIRED,37.74417844737573,-122.38671592975922,07/10/2019 12:00:00 AM,01/15/2021 12:00:00 AM,Quan Catering
1591825,Truck,501 BEALE ST,APPROVED,37.78623677446536,-122.38906620560476,03/22/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Cochinita
1591827,Truck,617 BRYANT ST,APPROVED,37.779051111573146,-122.39830388133372,03/22/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Cochinita
1337426,Truck,Assessors Block /Lot,EXPIRED,0.0,0.0,07/12/2019 12:00:00 AM,01/15/2021 12:00:00 AM,Liang Bai Ping
848184,Truck,201 BAY SHORE BLVD,REQUESTED,37.74530890865633,-122.40342005999852,,03/15/2017 12:00:00 AM,Reecees Soulicious
1332942,Truck,147 FREMONT ST,EXPIRED,37.79018557063344,-122.39547172580944,06/26/2019 12:00:00 AM,01/15/2021 12:00:00 AM,Mini Mobile Food Catering
1590834,Truck,1800 FOLSOM ST,APPROVED,37.76785244271805,-122.41610489253188,01/20/2022 12:00:00 AM,11/15/2022 12:00:00 AM,El Alambre
1343831,Push Cart,1020 03RD ST,REQUESTED,37.77551013804947,-122.39099930600248,,07/15/2020 12:00:00 AM,Got Snacks
1590836,Truck,1188 FRANKLIN ST,APPROVED,37.785271949066775,-122.42260358516438,01/20/2022 12:00:00 AM,11/15/2022 12:00:00 AM,El Alambre
1590835,Truck,1100 FRANKLIN ST,APPROVED,37.78484602775554,-122.42256813313708,01/20/2022 12:00:00 AM,11/15/2022 12:00:00 AM,El Alambre
1590833,Truck,1800 FOLSOM ST,APPROVED,37.76785244271805,-122.41610489253188,01/20/2022 12:00:00 AM,11/15/2022 12:00:00 AM,El Alambre
1591829,Truck,999 DIVISADERO ST,APPROVED,37.77838430096904,-122.43878238856672,03/22/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Cochinita
1591824,Truck,501 02ND ST,APPROVED,37.7831711043434,-122.39290104947858,03/22/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Cochinita
1591828,Truck,1219 07TH AVE,APPROVED,37.76549698761915,-122.46459761957114,03/22/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Cochinita
1591826,Truck,490 BRANNAN ST,APPROVED,37.778863135500174,-122.39644435935811,03/22/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Cochinita
934516,Truck,50 01ST ST,EXPIRED,37.79014907372554,-122.39865818460405,03/16/2017 12:00:00 AM,07/15/2018 12:00:00 AM,Scotch Bonnet
1337425,Truck,931 PALOU AVE,EXPIRED,37.72673391124156,-122.37897200523552,07/12/2019 12:00:00 AM,01/15/2021 12:00:00 AM,Liang Bai Ping
1587521,Truck,625 02ND ST,APPROVED,37.78168897534514,-122.3910618172866,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"Chairman SF, LLC"
1606346,Truck,351 CALIFORNIA ST,REQUESTED,37.792870749741496,-122.4007474940767,,11/15/2021 12:00:00 AM,MOMO INNOVATION LLC
1611740,Truck,125 NAPOLEON ST,REQUESTED,37.746856017691925,-122.39714976579396,,11/15/2022 12:00:00 AM,Kid Abelha - Brazilian Hamburgers
1611739,Truck,2045 EVANS AVE,REQUESTED,37.747772091607466,-122.39703171897756,,11/15/2022 12:00:00 AM,Kid Abelha - Brazilian Hamburgers
